IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,jumlah_bts,jumlah_operator,sinyal_telepon,sinyal_internet,ada_bts,ada_operator,ada_sinyal_telepon,ada_internet,skor_bts,skor_operator,skor_infrastruktur_telkom,ada_warnet,komputer_desa,internet_kantordesa,sid,ada_komputer,ada_internet_desa,ada_sid,skor_digitalisasi_pemdes,skor_digital_readiness,kategori_digital,cluster,label
3501010001,PACITAN,DONOROJO,WIDORO,2,-8.1955591,2,110.920136,1,4,75,100.0,100,100,100,100,25.0,57.14285714285714,65.17857142857143,100,100,100,100.0,100,100,100,100.0,86.07142857142857,Tinggi,0,Digital Lengkap
3501010002,PACITAN,DONOROJO,SAWAHAN,2,-8.1816971,2,110.9185335,0,2,25,60.0,0,100,100,100,0.0,28.57142857142857,28.214285714285715,100,100,100,100.0,100,100,100,100.0,71.28571428571428,Sedang,1,Infrastruktur Lemah
3501010003,PACITAN,DONOROJO,KALAK,1,-8.1918503,2,110.9319245,0,3,75,60.0,0,100,100,100,0.0,42.857142857142854,46.07142857142857,0,100,100,100.0,100,100,100,100.0,68.42857142857143,Sedang,1,Infrastruktur Lemah
3501010004,PACITAN,DONOROJO,SENDANG,2,-8.1934734,2,110.9378413,2,2,100,100.0,100,100,100,100,50.0,28.57142857142857,73.21428571428572,100,100,100,100.0,100,100,100,100.0,89.28571428571429,Tinggi,0,Digital Lengkap
3501010005,PACITAN,DONOROJO,KLEPU,2,-8.1501037,2,110.9313394,2,2,75,100.0,100,100,100,100,50.0,28.57142857142857,65.71428571428572,100,100,100,100.0,100,100,100,100.0,86.28571428571429,Tinggi,0,Digital Lengkap
3501010006,PACITAN,DONOROJO,GEDOMPOL,2,-8.1298392,2,110.933877,1,2,75,100.0,100,100,100,100,25.0,28.57142857142857,59.464285714285715,100,100,100,100.0,100,100,100,100.0,83.78571428571429,Tinggi,0,Digital Lengkap
3501010007,PACITAN,DONOROJO,CEMENG,2,-8.102484,2,110.947013,0,2,75,60.0,0,100,100,100,0.0,28.57142857142857,43.214285714285715,100,100,100,100.0,100,100,100,100.0,77.28571428571429,Tinggi,1,Infrastruktur Lemah
3501010008,PACITAN,DONOROJO,GENDARAN,2,-8.1048861,2,110.9579837,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,100,100,100,100.0,100,100,100,100.0,83.57142857142857,Tinggi,0,Digital Lengkap
3501010009,PACITAN,DONOROJO,SUKODONO,2,-8.1051325,2,110.9730862,1,4,75,100.0,100,100,100,100,25.0,57.14285714285714,65.17857142857143,0,100,100,100.0,100,100,100,100.0,76.07142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501010010,PACITAN,DONOROJO,SEKAR,2,-8.1150791,2,110.9768944,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501010011,PACITAN,DONOROJO,DONOROJO,1,-8.0913555,2,110.9879505,0,4,75,60.0,0,100,100,100,0.0,57.14285714285714,48.92857142857143,0,100,100,100.0,100,100,100,100.0,69.57142857142857,Sedang,1,Infrastruktur Lemah
3501010012,PACITAN,DONOROJO,BELAH,1,-8.0887199,2,110.9845216,3,4,75,100.0,100,100,100,100,75.0,57.14285714285714,77.67857142857143,100,100,100,100.0,100,100,100,100.0,91.07142857142857,Tinggi,0,Digital Lengkap
3501020001,PACITAN,PUNUNG,BOMO,2,-8.1721352,2,110.9738654,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501020002,PACITAN,PUNUNG,SOOKA,2,-8.152704,2,111.0221679,2,4,75,100.0,100,100,100,100,50.0,57.14285714285714,71.42857142857143,0,100,100,100.0,100,100,100,100.0,78.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501020003,PACITAN,PUNUNG,PUNUNG,1,-8.1380544,2,111.0168724,1,4,75,100.0,100,100,100,100,25.0,57.14285714285714,65.17857142857143,0,100,100,100.0,100,100,100,100.0,76.07142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501020004,PACITAN,PUNUNG,MENDOLO KIDUL,2,-8.130188,2,111.032582,2,5,75,100.0,100,100,100,100,50.0,71.42857142857143,74.28571428571428,100,100,100,100.0,100,100,100,100.0,89.71428571428571,Tinggi,0,Digital Lengkap
3501020005,PACITAN,PUNUNG,MENDOLO LOR,2,-8.1203589,2,111.0286755,1,6,75,100.0,100,100,100,100,25.0,85.71428571428571,70.89285714285714,0,100,100,100.0,100,100,100,100.0,78.35714285714286,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501020006,PACITAN,PUNUNG,KENDAL,2,-8.1407114,2,111.0027084,0,5,75,100.0,0,100,100,100,0.0,71.42857142857143,61.785714285714285,0,100,100,100.0,100,100,100,100.0,74.71428571428572,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501020007,PACITAN,PUNUNG,PITON,2,-8.153707,2,111.0055173,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501020008,PACITAN,PUNUNG,WARENG,2,-8.1160935,2,110.9916086,0,5,75,100.0,0,100,100,100,0.0,71.42857142857143,61.785714285714285,0,100,100,100.0,100,100,100,100.0,74.71428571428572,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501020009,PACITAN,PUNUNG,MANTREN,2,-8.1247162,2,111.0014536,1,4,75,100.0,100,100,100,100,25.0,57.14285714285714,65.17857142857143,100,100,100,100.0,100,100,100,100.0,86.07142857142857,Tinggi,0,Digital Lengkap
3501020010,PACITAN,PUNUNG,PLOSO,2,-8.0823601,2,111.0598992,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501020011,PACITAN,PUNUNG,GONDOSARI,1,-8.1104035,2,111.0796538,2,4,75,100.0,100,100,100,100,50.0,57.14285714285714,71.42857142857143,0,100,100,100.0,100,100,100,100.0,78.57142857142857,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501020012,PACITAN,PUNUNG,TINATAR,2,-8.08465,2,111.0920117,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,100.0,100,100,100,100.0,73.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501020013,PACITAN,PUNUNG,KEBONSARI,2,-8.0658417,2,111.0803017,0,4,25,100.0,0,100,100,100,0.0,57.14285714285714,43.92857142857143,0,100,100,100.0,100,100,100,100.0,67.57142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030001,PACITAN,PRINGKUKU,WATU KARUNG,2,-8.2242796,2,110.9786799,0,5,75,100.0,0,100,100,100,0.0,71.42857142857143,61.785714285714285,0,100,100,100.0,100,100,100,100.0,74.71428571428572,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030002,PACITAN,PRINGKUKU,DERSONO,2,-8.2037881,2,110.9683077,1,3,75,100.0,100,100,100,100,25.0,42.857142857142854,62.32142857142857,0,100,100,100.0,100,100,100,100.0,74.92857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030003,PACITAN,PRINGKUKU,SUGIHWARAS,2,-8.1915317,2,110.994245,1,3,75,100.0,100,100,100,100,25.0,42.857142857142854,62.32142857142857,0,100,100,100.0,100,100,100,100.0,74.92857142857143,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030004,PACITAN,PRINGKUKU,JLUBANG,1,-8.2090815,2,111.0062149,0,4,25,100.0,0,100,100,100,0.0,57.14285714285714,43.92857142857143,0,100,100,50.0,100,100,100,85.0,60.07142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030005,PACITAN,PRINGKUKU,CANDI,1,-8.219274,2,111.0274409,1,2,25,60.0,100,100,100,100,25.0,28.57142857142857,34.464285714285715,0,100,100,50.0,100,100,100,85.0,56.285714285714285,Sedang,1,Infrastruktur Lemah
3501030006,PACITAN,PRINGKUKU,POKO,1,-8.2204547,2,111.0430034,2,5,75,100.0,100,100,100,100,50.0,71.42857142857143,74.28571428571428,0,100,100,100.0,100,100,100,100.0,79.71428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501030007,PACITAN,PRINGKUKU,DADAPAN,1,-8.2167958,2,111.0579149,0,4,75,100.0,0,100,100,100,0.0,57.14285714285714,58.92857142857143,0,100,100,50.0,100,100,100,85.0,66.07142857142857,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030008,PACITAN,PRINGKUKU,PRINGKUKU,1,-8.1893933,2,111.0437549,2,4,75,100.0,100,100,100,100,50.0,57.14285714285714,71.42857142857143,100,100,100,100.0,100,100,100,100.0,88.57142857142857,Tinggi,0,Digital Lengkap
3501030009,PACITAN,PRINGKUKU,SOBO,2,-8.1831418,2,111.0212366,1,6,75,100.0,100,100,100,100,25.0,85.71428571428571,70.89285714285714,0,100,100,100.0,100,100,100,100.0,78.35714285714286,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
3501030010,PACITAN,PRINGKUKU,NGADIREJAN,1,-8.1653696,2,111.0443024,0,1,25,100.0,0,100,100,100,0.0,14.285714285714285,35.35714285714286,0,100,100,100.0,100,100,100,100.0,64.14285714285714,Sedang,2,Digital Administrasi (Tanpa Akses Publik)
3501030011,PACITAN,PRINGKUKU,GLINGGANGAN,1,-8.1541604,2,111.0710505,1,5,75,100.0,100,100,100,100,25.0,71.42857142857143,68.03571428571428,0,100,100,100.0,100,100,100,100.0,77.21428571428571,Tinggi,2,Digital Administrasi (Tanpa Akses Publik)
