IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,sktm,sktm_per_100kk,skor_kesejahteraan,sektor_dominan,grup_sektor,sektor_industri,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,subsektor_pertanian,is_pertanian,skor_diversifikasi,ada_pades,jumlah_bumdes,ada_bumdes,skor_bumdes,jumlah_kud,jumlah_kospin,total_koperasi,ada_koperasi,skor_koperasi,skor_kelembagaan,ada_produk_unggulan,orientasi_ekspor,industri_makanan,industri_kerajinan,total_industri,ada_industri,skor_industri,skor_produktivitas,akses_kur,skor_akses_modal,skor_infrastruktur_ekonomi,skor_ekonomi_total,kategori_ekonomi,cluster,label
3501010001,PACITAN,DONOROJO,WIDORO,2,-8.1955591,2,110.920136,996,3984,18,1.8072289156626504,89.3779150599057,1,pertanian,False,False,False,False,True,1,100,0,100,2,100,66.66666666666666,0,0,0,0,0.0,56.666666666666664,0,0.0,6,0,6,100,18.181818181818183,5.454545454545455,100,100,0,47.87478179527946,Berkembang,0,Desa Subsisten Pertanian
3501010002,PACITAN,DONOROJO,SAWAHAN,2,-8.1816971,2,110.9185335,379,1516,14,3.6939313984168867,78.28871996413443,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,340,0,340,100,100.0,65.0,100,100,0,56.655513324366936,Transisi,0,Desa Subsisten Pertanian
3501010003,PACITAN,DONOROJO,KALAK,1,-8.1918503,2,110.9319245,1355,5420,25,1.8450184501845017,89.15580504270815,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,30,0,30,100,90.9090909090909,62.272727272727266,100,100,0,58.69046641219218,Transisi,0,Desa Subsisten Pertanian
3501010004,PACITAN,DONOROJO,SENDANG,2,-8.1934734,2,110.9378413,1049,4196,38,3.622497616777884,78.70857584934387,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,400,0,400,100,100.0,65.0,100,100,0,58.635477295669304,Transisi,0,Desa Subsisten Pertanian
3501010005,PACITAN,DONOROJO,KLEPU,2,-8.1501037,2,110.9313394,1561,6244,24,1.5374759769378605,90.96340243405174,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,98,0,98,100,100.0,65.0,100,100,0,61.69918394184627,Transisi,0,Desa Subsisten Pertanian
3501010006,PACITAN,DONOROJO,GEDOMPOL,2,-8.1298392,2,110.933877,1451,5804,63,4.34183321847002,74.48064224592093,1,pertanian,False,False,False,False,True,1,100,0,100,2,100,66.66666666666666,0,2,2,100,50.0,71.66666666666666,100,0.0,8,2,10,100,30.303030303030305,44.09090909090909,100,100,0,57.55955450087417,Transisi,0,Desa Subsisten Pertanian
3501010007,PACITAN,DONOROJO,CEMENG,2,-8.102484,2,110.947013,944,3776,18,1.9067796610169492,88.79280021151068,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,0,0,0,0,0.0,35.0,100,100,0,53.656533386211,Transisi,0,Desa Subsisten Pertanian
3501010008,PACITAN,DONOROJO,GENDARAN,2,-8.1048861,2,110.9579837,649,2596,23,3.5439137134052388,79.17045695876732,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,0,0.0,11,2,13,100,39.39393939393939,11.818181818181817,100,100,0,45.45549302757061,Berkembang,0,Desa Subsisten Pertanian
3501010009,PACITAN,DONOROJO,SUKODONO,2,-8.1051325,2,110.9730862,1440,5760,24,1.6666666666666667,90.20407722191304,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,2,2,100,50.0,58.33333333333333,100,0.0,22,13,35,100,100.0,65.0,100,100,0,63.38435263881159,Transisi,0,Desa Subsisten Pertanian
3501010010,PACITAN,DONOROJO,SEKAR,2,-8.1150791,2,110.9768944,1184,4736,25,2.1114864864864864,87.58962485884253,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,2,2,100,50.0,58.33333333333333,100,0.0,18,10,28,100,84.84848484848484,60.45454545454545,100,100,0,61.59437591168033,Transisi,0,Desa Subsisten Pertanian
