IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,kk_pln,kk_non_pln,kk_tanpa_listrik,total_kk,rasio_pln,rasio_non_pln,rasio_tanpa_listrik,penerangan_jalan,penerangan_surya,skor_listrik,air_minum_aman,air_cuci_bersih,sanitasi_layak,septik_tank,tps,tps3r,bank_sampah,pemilahan_sampah,drainase,skor_sanitasi,skor_air,sungai,irigasi,waduk,mata_air,jumlah_embung,skor_sumber_air,jalan_aspal,jalan_keras,jalan_tanah,akses_jalan,angkutan_trayek,angkutan_non_trayek,angkutan_ada,skor_transportasi,sinyal_telepon,sinyal_internet,jumlah_bts,jumlah_operator,bts_normalized,operator_normalized,komputer_desa,internet_desa,warnet,skor_digital,akses_puskesmas,akses_pasar,akses_sd,skor_aksesibilitas,kantor_desa_ada,kantor_desa_layak,kantor_dalam_wilayah,topografi_datar,permukiman_aman,pesisir,cluster,label_infrastruktur
3501010001,PACITAN,DONOROJO,WIDORO,2,-8.1955591,2,110.920136,995,0,1,996,99.8995983935743,0.0,0.1004016064257028,100,100,99.91967871485944,100,100,100,0,0,0,0,25,0,30.0,100.0,100,0,0,0,1,25,100,0,0,100.0,0,0,0,75.0,75,100.0,1,4,25.0,66.66666666666666,100,100,100,80.41666666666666,0.0,63.0,100.0,53.9,100,100,100,0,100,1,2,Desa Khusus Geografis
3501010002,PACITAN,DONOROJO,SAWAHAN,2,-8.1816971,2,110.9185335,379,0,0,379,100.0,0.0,0.0,50,100,92.5,100,100,100,100,0,0,0,25,100,55.0,100.0,0,0,0,0,0,0,100,0,0,100.0,0,50,100,100.0,25,75.0,0,2,0.0,33.33333333333333,100,100,100,55.83333333333333,0.0,80.0,100.0,59.0,100,100,100,0,0,0,1,Desa Berkembang
3501010003,PACITAN,DONOROJO,KALAK,1,-8.1918503,2,110.9319245,1355,0,0,1355,100.0,0.0,0.0,100,100,100.0,100,100,100,0,0,0,0,100,100,40.0,100.0,0,0,0,100,0,20,100,0,0,100.0,0,0,0,75.0,75,75.0,0,3,0.0,50.0,100,100,0,62.5,100.0,75.0,100.0,92.5,100,100,100,0,100,1,2,Desa Khusus Geografis
3501010004,PACITAN,DONOROJO,SENDANG,2,-8.1934734,2,110.9378413,1049,0,0,1049,100.0,0.0,0.0,100,100,100.0,100,100,100,100,100,0,0,75,100,70.0,100.0,100,0,0,0,0,20,100,0,0,100.0,0,50,100,100.0,100,100.0,2,2,50.0,33.33333333333333,100,100,100,85.83333333333334,0.0,100.0,100.0,65.0,100,100,100,0,0,1,0,Desa Maju
3501010005,PACITAN,DONOROJO,KLEPU,2,-8.1501037,2,110.9313394,1561,0,0,1561,100.0,0.0,0.0,50,100,92.5,100,100,100,0,0,0,0,0,100,40.0,100.0,0,0,100,100,0,40,100,0,0,100.0,0,50,100,100.0,75,100.0,2,2,50.0,33.33333333333333,100,100,100,80.83333333333334,50.0,80.0,100.0,76.5,100,100,100,0,100,0,2,Desa Khusus Geografis
3501010006,PACITAN,DONOROJO,GEDOMPOL,2,-8.1298392,2,110.933877,1451,0,0,1451,100.0,0.0,0.0,50,0,87.5,100,100,100,0,0,0,0,75,100,40.0,100.0,0,0,0,100,0,20,100,0,0,100.0,0,50,100,100.0,75,100.0,1,2,25.0,33.33333333333333,100,100,100,77.08333333333334,0.0,100.0,100.0,65.0,100,100,100,0,100,0,2,Desa Khusus Geografis
3501010007,PACITAN,DONOROJO,CEMENG,2,-8.102484,2,110.947013,944,0,0,944,100.0,0.0,0.0,100,0,95.0,100,100,100,0,0,0,0,25,0,30.0,100.0,0,0,100,100,0,40,100,0,0,100.0,0,50,100,100.0,75,75.0,0,2,0.0,33.33333333333333,100,100,100,65.83333333333334,0.0,60.0,100.0,53.0,100,100,100,0,0,0,1,Desa Berkembang
3501010008,PACITAN,DONOROJO,GENDARAN,2,-8.1048861,2,110.9579837,649,0,0,649,100.0,0.0,0.0,100,0,95.0,100,100,100,0,0,0,0,25,0,30.0,100.0,0,0,0,100,0,20,100,0,0,100.0,0,50,100,100.0,75,100.0,0,4,0.0,66.66666666666666,100,100,100,76.66666666666666,0.0,80.0,100.0,59.0,100,100,100,0,0,0,1,Desa Berkembang
3501010009,PACITAN,DONOROJO,SUKODONO,2,-8.1051325,2,110.9730862,1440,0,0,1440,100.0,0.0,0.0,50,0,87.5,100,100,100,0,0,0,0,25,0,30.0,100.0,0,0,0,100,1,25,100,0,0,100.0,0,50,100,100.0,75,100.0,1,4,25.0,66.66666666666666,100,100,0,75.41666666666666,0.0,60.0,100.0,53.0,100,100,100,0,0,0,1,Desa Berkembang
3501010010,PACITAN,DONOROJO,SEKAR,2,-8.1150791,2,110.9768944,1184,0,0,1184,100.0,0.0,0.0,50,0,87.5,100,100,100,0,0,0,0,25,0,30.0,100.0,100,100,0,100,2,80,100,0,0,100.0,0,50,100,100.0,75,100.0,0,4,0.0,66.66666666666666,100,100,0,71.66666666666666,0.0,70.0,100.0,56.0,100,100,100,0,0,0,1,Desa Berkembang
3501010011,PACITAN,DONOROJO,DONOROJO,1,-8.0913555,2,110.9879505,1652,0,0,1652,100.0,0.0,0.0,100,100,100.0,100,100,100,100,0,0,100,25,0,55.0,100.0,100,0,0,100,2,50,100,0,0,100.0,0,50,100,100.0,75,75.0,0,4,0.0,66.66666666666666,100,100,0,64.16666666666666,10.0,60.0,100.0,56.5,100,100,100,0,0,0,1,Desa Berkembang
3501010012,PACITAN,DONOROJO,BELAH,1,-8.0887199,2,110.9845216,1425,0,0,1425,100.0,0.0,0.0,100,0,95.0,100,100,100,0,0,0,0,25,0,30.0,100.0,100,100,0,100,0,70,100,0,0,100.0,100,0,100,100.0,75,100.0,3,4,75.0,66.66666666666666,100,100,100,87.91666666666666,10.0,100.0,100.0,68.5,100,100,100,0,0,0,1,Desa Berkembang
3501020001,PACITAN,PUNUNG,BOMO,2,-8.1721352,2,110.9738654,923,0,0,923,100.0,0.0,0.0,100,100,100.0,100,100,100,100,100,0,0,25,0,60.0,100.0,100,0,0,100,2,50,100,0,0,100.0,100,0,100,100.0,75,100.0,0,4,0.0,66.66666666666666,100,100,0,71.66666666666666,0.0,90.0,100.0,62.0,100,100,100,0,0,0,1,Desa Berkembang
3501020002,PACITAN,PUNUNG,SOOKA,2,-8.152704,2,111.0221679,762,0,0,762,100.0,0.0,0.0,100,0,95.0,100,100,100,100,0,0,0,0,0,45.0,100.0,100,100,0,100,4,80,100,0,0,100.0,0,50,100,100.0,75,100.0,2,4,50.0,66.66666666666666,100,100,0,79.16666666666666,0.0,20.0,100.0,41.0,100,100,100,0,0,0,1,Desa Berkembang
3501020003,PACITAN,PUNUNG,PUNUNG,1,-8.1380544,2,111.0168724,2158,0,0,2158,100.0,0.0,0.0,100,100,100.0,100,100,100,100,100,100,100,100,0,90.0,100.0,100,100,100,100,0,90,100,0,0,100.0,100,0,100,100.0,75,100.0,1,4,25.0,66.66666666666666,100,100,0,75.41666666666666,0.0,90.0,100.0,62.0,100,100,100,0,0,0,0,Desa Maju
3501020004,PACITAN,PUNUNG,MENDOLO KIDUL,2,-8.130188,2,111.032582,532,0,0,532,100.0,0.0,0.0,50,100,92.5,100,100,100,100,0,0,0,25,0,45.0,100.0,100,100,0,0,0,50,100,0,0,100.0,100,0,100,100.0,75,100.0,2,5,50.0,83.33333333333334,100,100,100,85.83333333333334,0.0,100.0,100.0,65.0,100,100,100,0,0,0,1,Desa Berkembang
3501020005,PACITAN,PUNUNG,MENDOLO LOR,2,-8.1203589,2,111.0286755,1037,0,0,1037,100.0,0.0,0.0,100,0,95.0,0,0,100,100,0,0,0,75,100,55.0,0.0,100,100,0,0,0,50,100,0,0,100.0,0,50,100,100.0,75,100.0,1,6,25.0,100.0,100,100,0,78.75,0.0,80.0,100.0,59.0,100,100,100,0,0,0,1,Desa Berkembang
3501020006,PACITAN,PUNUNG,KENDAL,2,-8.1407114,2,111.0027084,459,0,0,459,100.0,0.0,0.0,100,100,100.0,100,100,100,100,0,100,0,25,0,65.0,100.0,0,100,100,0,0,50,100,0,0,100.0,0,50,100,100.0,75,100.0,0,5,0.0,83.33333333333334,100,100,0,73.33333333333334,0.0,70.0,100.0,56.0,100,100,100,100,0,0,0,Desa Maju
3501020007,PACITAN,PUNUNG,PITON,2,-8.153707,2,111.0055173,586,0,0,586,100.0,0.0,0.0,100,100,100.0,100,100,100,100,0,0,0,25,0,45.0,100.0,100,0,0,100,0,40,100,0,0,100.0,0,50,100,100.0,75,100.0,0,4,0.0,66.66666666666666,100,100,0,71.66666666666666,0.0,80.0,100.0,59.0,100,100,100,0,0,0,1,Desa Berkembang
3501020008,PACITAN,PUNUNG,WARENG,2,-8.1160935,2,110.9916086,645,0,0,645,100.0,0.0,0.0,100,100,100.0,100,100,100,100,0,0,0,25,100,55.0,100.0,100,100,0,100,0,70,100,0,0,100.0,0,50,100,100.0,75,100.0,0,5,0.0,83.33333333333334,100,100,0,73.33333333333334,0.0,60.0,100.0,53.0,100,100,100,0,0,0,1,Desa Berkembang
