IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,tps,tps3r,bank_sampah,pemilahan_sampah,skor_pengelolaan_sampah,pencemaran_air,pencemaran_tanah,pencemaran_udara,total_pencemaran,skor_kualitas_lingkungan,banjir,kebakaran_hutan,kekeringan,longsor,total_bencana,tingkat_kerawanan,skor_ketahanan_bencana,peringatan_dini,rambu_evakuasi,destana,skor_mitigasi_bencana,penanaman_pohon,daur_ulang_masyarakat,pupuk_organik,komunitas_lingkungan,skor_pelestarian,skor_lingkungan_total,kategori_lingkungan,cluster,label
3501010001,PACITAN,DONOROJO,WIDORO,2,-8.1955591,2,110.920136,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,0,40.0,100,0,100,100,75.0,63.8125,Sedang,1,Lingkungan Terbaik
3501010002,PACITAN,DONOROJO,SAWAHAN,2,-8.1816971,2,110.9185335,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,0,40.0,50,0,100,50,47.5,59.6875,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501010003,PACITAN,DONOROJO,KALAK,1,-8.1918503,2,110.9319245,0,0,0,100,25.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,100,50,100,100,87.5,79.375,Baik,1,Lingkungan Terbaik
3501010004,PACITAN,DONOROJO,SENDANG,2,-8.1934734,2,110.9378413,100,50,0,75,53.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,100,100.0,0,0,100,100,45.0,80.1875,Sangat Baik,1,Lingkungan Terbaik
3501010005,PACITAN,DONOROJO,KLEPU,2,-8.1501037,2,110.9313394,0,0,0,0,0.0,0,0,0,0,100.0,0,0,0,0,0,0,100,100,100,0,70.0,100,0,100,100,75.0,66.75,Baik,1,Lingkungan Terbaik
3501010006,PACITAN,DONOROJO,GEDOMPOL,2,-8.1298392,2,110.933877,0,0,0,75,18.75,0,0,0,0,100.0,0,0,0,0,0,0,100,100,0,0,40.0,0,0,100,100,45.0,62.4375,Sedang,1,Lingkungan Terbaik
3501010007,PACITAN,DONOROJO,CEMENG,2,-8.102484,2,110.947013,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,100,75.0,57.8125,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501010008,PACITAN,DONOROJO,GENDARAN,2,-8.1048861,2,110.9579837,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,0,50.0,54.0625,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501010009,PACITAN,DONOROJO,SUKODONO,2,-8.1051325,2,110.9730862,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,100,0,30.0,100,0,0,100,55.0,59.3125,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501010010,PACITAN,DONOROJO,SEKAR,2,-8.1150791,2,110.9768944,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,100,75.0,57.8125,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
3501010011,PACITAN,DONOROJO,DONOROJO,1,-8.0913555,2,110.9879505,0,50,100,25,46.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,100,100,75.0,67.8125,Baik,1,Lingkungan Terbaik
3501010012,PACITAN,DONOROJO,BELAH,1,-8.0887199,2,110.9845216,0,0,0,25,6.25,0,0,0,0,100.0,0,0,0,0,0,0,100,0,0,0,0.0,100,0,0,0,30.0,51.0625,Sedang,3,Lingkungan Ideal (Tanpa Masalah)
