IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,skor_akses_dasar,skor_konektivitas,skor_pengelolaan_lingkungan,skor_kesejahteraan,skor_kelembagaan_ekonomi,skor_produktivitas_ekonomi,skor_akses_kesehatan,skor_kualitas_kesehatan,skor_program_kesehatan,skor_pendidikan_lanjut,skor_literasi_masyarakat,skor_kualitas_lingkungan,skor_ketahanan_bencana,skor_digital_readiness,skor_status_wilayah,skor_karakteristik_khusus,sektor_pertanian,sektor_industri,sektor_jasa,status_perkotaan,ada_pades,ada_bumdes,ada_sid,kelengkapan_pendidikan,ada_vokasi,ada_mitigasi_bencana,kelengkapan_kesehatan,kelengkapan_ekonomi,cluster,total_penduduk,total_kk,cluster_label,cluster_label_detail,final_label
3501010001,PACITAN,DONOROJO,WIDORO,2,-8.1955591,2,110.920136,99.95983935742971,75.0,6.25,75.0,56.66666666666666,5.454545454545455,20.080321285140563,100.0,100.0,0.0,35.0,100.0,75.0,68.75,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,0,0,3984,996,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010002,PACITAN,DONOROJO,SAWAHAN,2,-8.1816971,2,110.9185335,100.0,93.75,21.25,76.05648701895478,43.33333333333333,65.0,6.596306068601583,100.0,100.0,0.0,40.0,75.0,75.0,60.0,0.0,30.0,1,0,0,0,1,1,1,2,0,1,1,0,0,1516,379,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010003,PACITAN,DONOROJO,KALAK,1,-8.1918503,2,110.9319245,100.0,68.75,40.0,75.14775224361028,43.33333333333333,62.27272727272727,21.21771217712177,100.0,100.0,60.0,35.0,100.0,100.0,66.25,60.0,65.0,1,0,0,1,1,1,1,4,1,1,3,0,0,5420,1355,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010004,PACITAN,DONOROJO,SENDANG,2,-8.1934734,2,110.9378413,100.0,100.0,51.25,77.86278775155287,50.83333333333333,65.0,14.299332697807436,100.0,100.0,0.0,0.0,50.0,100.0,87.5,0.0,65.0,1,0,0,0,1,1,1,2,0,1,2,1,0,4196,1049,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010005,PACITAN,DONOROJO,KLEPU,2,-8.1501037,2,110.9313394,100.0,100.0,15.0,75.12825386937342,50.83333333333333,65.0,10.409993593850096,100.0,100.0,40.0,35.0,100.0,100.0,81.25,0.0,30.0,1,0,0,0,1,1,1,3,0,1,2,0,0,6244,1561,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010006,PACITAN,DONOROJO,GEDOMPOL,2,-8.1298392,2,110.933877,100.0,100.0,33.75,75.41393030342923,71.66666666666666,44.09090909090909,6.030323914541696,100.0,100.0,40.0,35.0,50.0,75.0,81.25,0.0,30.0,1,0,0,0,1,1,1,3,0,1,2,1,0,5804,1451,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010007,PACITAN,DONOROJO,CEMENG,2,-8.102484,2,110.947013,100.0,93.75,6.25,75.21208081577535,50.83333333333333,35.0,17.21398305084746,100.0,60.0,0.0,35.0,100.0,50.0,72.5,0.0,30.0,1,0,0,0,1,1,1,2,0,0,2,0,0,3776,944,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010008,PACITAN,DONOROJO,GENDARAN,2,-8.1048861,2,110.9579837,100.0,100.0,6.25,75.0,50.83333333333333,11.818181818181817,48.11248073959938,100.0,100.0,40.0,0.0,100.0,50.0,68.75,0.0,30.0,1,0,0,0,1,1,1,3,0,0,2,0,0,2596,649,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010009,PACITAN,DONOROJO,SUKODONO,2,-8.1051325,2,110.9730862,100.0,100.0,6.25,75.0,58.33333333333333,65.0,17.36111111111111,100.0,60.0,0.0,0.0,100.0,75.0,68.75,0.0,30.0,1,0,0,0,1,1,1,2,0,0,2,0,0,5760,1440,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
3501010010,PACITAN,DONOROJO,SEKAR,2,-8.1150791,2,110.9768944,100.0,100.0,6.25,75.0,58.33333333333333,60.45454545454545,8.445945945945946,100.0,100.0,40.0,0.0,100.0,50.0,68.75,0.0,30.0,1,0,0,0,1,1,1,3,0,0,1,0,0,4736,1184,Perdesaan Maju,Perdesaan Maju - Pertanian,Desa Agraris Berkembang
