IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,skor_akses_dasar,skor_konektivitas,skor_pengelolaan_lingkungan,skor_kesejahteraan,skor_kelembagaan_ekonomi,skor_produktivitas_ekonomi,skor_akses_kesehatan,skor_kualitas_kesehatan,skor_program_kesehatan,skor_pendidikan_dasar,skor_pendidikan_lanjut,skor_literasi_masyarakat,skor_kualitas_lingkungan,skor_ketahanan_bencana,skor_digital_readiness,sektor_pertanian,sektor_industri,sektor_jasa,ada_pades,ada_bumdes,ada_sid,kelengkapan_pendidikan,ada_vokasi,ada_mitigasi_bencana,ada_literasi_digital,cluster,label
3501010001,PACITAN,DONOROJO,WIDORO,2,-8.1955591,2,110.920136,996,3984,99.95983935742973,75.0,6.25,89.3779150599057,56.666666666666664,5.454545454545455,20.080321285140563,100.0,100.0,100.0,0.0,35.0,100.0,75.0,68.75,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010002,PACITAN,DONOROJO,SAWAHAN,2,-8.1816971,2,110.9185335,379,1516,100.0,93.75,21.25,78.28871996413443,43.33333333333333,65.0,6.596306068601583,100.0,100.0,100.0,0.0,40.0,75.0,75.0,60.0,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010003,PACITAN,DONOROJO,KALAK,1,-8.1918503,2,110.9319245,1355,5420,100.0,68.75,40.0,89.15580504270815,43.33333333333333,62.272727272727266,21.217712177121772,100.0,100.0,100.0,60.0,35.0,100.0,100.0,66.25,1,0,0,1,1,1,4,1,1,1,1,Desa Agraris dengan Ekosistem Pendidikan Lanjut Terbaik
3501010004,PACITAN,DONOROJO,SENDANG,2,-8.1934734,2,110.9378413,1049,4196,100.0,100.0,51.25,78.70857584934387,50.83333333333333,65.0,14.299332697807436,100.0,100.0,100.0,0.0,0.0,50.0,100.0,87.5,1,0,0,1,1,1,2,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010005,PACITAN,DONOROJO,KLEPU,2,-8.1501037,2,110.9313394,1561,6244,100.0,100.0,15.0,90.96340243405174,50.83333333333333,65.0,10.409993593850096,100.0,100.0,100.0,40.0,35.0,100.0,100.0,81.25,1,0,0,1,1,1,3,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010006,PACITAN,DONOROJO,GEDOMPOL,2,-8.1298392,2,110.933877,1451,5804,100.0,100.0,33.75,74.48064224592093,71.66666666666666,44.09090909090909,6.030323914541696,100.0,100.0,100.0,40.0,35.0,50.0,75.0,81.25,1,0,0,1,1,1,3,0,1,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010007,PACITAN,DONOROJO,CEMENG,2,-8.102484,2,110.947013,944,3776,100.0,93.75,6.25,88.79280021151068,50.83333333333333,35.0,17.21398305084746,100.0,60.0,100.0,0.0,35.0,100.0,50.0,72.5,1,0,0,1,1,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010008,PACITAN,DONOROJO,GENDARAN,2,-8.1048861,2,110.9579837,649,2596,100.0,100.0,6.25,79.17045695876732,50.83333333333333,11.818181818181817,48.11248073959938,100.0,100.0,100.0,40.0,0.0,100.0,50.0,68.75,1,0,0,1,1,1,3,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010009,PACITAN,DONOROJO,SUKODONO,2,-8.1051325,2,110.9730862,1440,5760,100.0,100.0,6.25,90.20407722191304,58.33333333333333,65.0,17.36111111111111,100.0,60.0,100.0,0.0,0.0,100.0,75.0,68.75,1,0,0,1,1,1,2,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
3501010010,PACITAN,DONOROJO,SEKAR,2,-8.1150791,2,110.9768944,1184,4736,100.0,100.0,6.25,87.58962485884253,58.33333333333333,60.45454545454545,8.445945945945946,100.0,100.0,100.0,40.0,0.0,100.0,50.0,68.75,1,0,0,1,1,1,3,0,0,1,2,"Desa Agraris Dasar – Terpenuhi Akses Dasar, Minim Vokasi dan Pendidikan Lanjut"
