NAMA_KAB,NAMA_KEC,NAMA_DESA
PACITAN,DONOROJO,WIDORO
PACITAN,DONOROJO,SAWAHAN
PACITAN,DONOROJO,KALAK
PACITAN,DONOROJO,SENDANG
PACITAN,DONOROJO,KLEPU
PACITAN,DONOROJO,GEDOMPOL
PACITAN,DONOROJO,CEMENG
PACITAN,DONOROJO,GENDARAN
PACITAN,DONOROJO,SUKODONO
PACITAN,DONOROJO,SEKAR
PACITAN,DONOROJO,DONOROJO
PACITAN,DONOROJO,BELAH
PACITAN,PUNUNG,BOMO
PACITAN,PUNUNG,SOOKA
PACITAN,PUNUNG,PUNUNG
PACITAN,PUNUNG,MENDOLO KIDUL
PACITAN,PUNUNG,MENDOLO LOR
PACITAN,PUNUNG,KENDAL
PACITAN,PUNUNG,PITON
PACITAN,PUNUNG,WARENG
PACITAN,PUNUNG,MANTREN
PACITAN,PUNUNG,PLOSO
PACITAN,PUNUNG,GONDOSARI
PACITAN,PUNUNG,TINATAR
PACITAN,PUNUNG,KEBONSARI
PACITAN,PRINGKUKU,WATU KARUNG
PACITAN,PRINGKUKU,DERSONO
PACITAN,PRINGKUKU,SUGIHWARAS
PACITAN,PRINGKUKU,JLUBANG
PACITAN,PRINGKUKU,CANDI
PACITAN,PRINGKUKU,POKO
PACITAN,PRINGKUKU,DADAPAN
PACITAN,PRINGKUKU,PRINGKUKU
PACITAN,PRINGKUKU,SOBO
PACITAN,PRINGKUKU,NGADIREJAN
PACITAN,PRINGKUKU,GLINGGANGAN
PACITAN,PRINGKUKU,PELEM
PACITAN,PRINGKUKU,TAMANASRI
PACITAN,PACITAN,SIDOHARJO
PACITAN,PACITAN,PLOSO
PACITAN,PACITAN,KEMBANG
PACITAN,PACITAN,SUKOHARJO
PACITAN,PACITAN,KAYEN
PACITAN,PACITAN,SIRNOBOYO
PACITAN,PACITAN,ARJOWINANGUN
PACITAN,PACITAN,BALEHARJO
PACITAN,PACITAN,BANGUNSARI
PACITAN,PACITAN,SEDENG
PACITAN,PACITAN,SUMBERHARJO
PACITAN,PACITAN,PUCANGSEWU
PACITAN,PACITAN,PACITAN
PACITAN,PACITAN,TANJUNGSARI
PACITAN,PACITAN,MENADI
PACITAN,PACITAN,MENTORO
PACITAN,PACITAN,PURWOREJO
PACITAN,PACITAN,NANGGUNGAN
PACITAN,PACITAN,WIDORO
PACITAN,PACITAN,SEMANTEN
PACITAN,PACITAN,BANJARSARI
PACITAN,PACITAN,BOLOSINGO
PACITAN,PACITAN,SAMBONG
PACITAN,PACITAN,PONGGOK
PACITAN,PACITAN,TAMBAKREJO
PACITAN,KEBONAGUNG,PLUMBUNGAN
PACITAN,KEBONAGUNG,KARANGNONGKO
PACITAN,KEBONAGUNG,KALIPELUS
PACITAN,KEBONAGUNG,KATIPUGAL
PACITAN,KEBONAGUNG,KLESEM
PACITAN,KEBONAGUNG,SIDOMULYO
PACITAN,KEBONAGUNG,WORAWARI
PACITAN,KEBONAGUNG,MANTREN
PACITAN,KEBONAGUNG,GAWANG
PACITAN,KEBONAGUNG,KARANGANYAR
PACITAN,KEBONAGUNG,KEBONAGUNG
PACITAN,KEBONAGUNG,PURWOASRI
PACITAN,KEBONAGUNG,BANJARJO
PACITAN,KEBONAGUNG,GEMBUK
PACITAN,KEBONAGUNG,SANGGRAHAN
PACITAN,KEBONAGUNG,PUNJUNG
PACITAN,KEBONAGUNG,WONOGONDO
PACITAN,KEBONAGUNG,KETEPUNG
PACITAN,KEBONAGUNG,KETRO
PACITAN,ARJOSARI,MLATI
PACITAN,ARJOSARI,SEDAYU
PACITAN,ARJOSARI,TREMAS
PACITAN,ARJOSARI,ARJOSARI
PACITAN,ARJOSARI,GUNUNGSARI
PACITAN,ARJOSARI,PAGUTAN
PACITAN,ARJOSARI,GEMBONG
PACITAN,ARJOSARI,BORANG
PACITAN,ARJOSARI,GEGERAN
PACITAN,ARJOSARI,KEDUNGBENDO
PACITAN,ARJOSARI,MANGUNHARJO
PACITAN,ARJOSARI,JETIS KIDUL
PACITAN,NAWANGAN,SEMPU
PACITAN,ARJOSARI,TEMON
PACITAN,ARJOSARI,JATIMALANG
PACITAN,ARJOSARI,GAYUHAN
PACITAN,ARJOSARI,KARANGREJO
PACITAN,ARJOSARI,KARANGGEDE
PACITAN,NAWANGAN,GONDANG
PACITAN,NAWANGAN,MUJING
PACITAN,NAWANGAN,NAWANGAN
PACITAN,NAWANGAN,TOKAWI
PACITAN,NAWANGAN,JETISLOR
PACITAN,NAWANGAN,PENGGUNG
PACITAN,NAWANGAN,PAKISBARU
PACITAN,NAWANGAN,NGROMO
PACITAN,BANDAR,PETUNGSINARANG
PACITAN,BANDAR,NGUNUT
PACITAN,BANDAR,BANDAR
PACITAN,BANDAR,KLEDUNG
PACITAN,BANDAR,TUMPUK
PACITAN,BANDAR,WATUPATOK
PACITAN,BANDAR,BANGUNSARI
PACITAN,BANDAR,JERUK
PACITAN,TEGALOMBO,KEBONDALEM
PACITAN,TEGALOMBO,GEDANGAN
PACITAN,TEGALOMBO,NGRECO
PACITAN,TEGALOMBO,KASIHAN
PACITAN,TEGALOMBO,PUCANGOMBO
PACITAN,TEGALOMBO,GEMAHARJO
PACITAN,TEGALOMBO,PLOSO
PACITAN,TEGALOMBO,TEGALOMBO
PACITAN,TEGALOMBO,KEMUNING
PACITAN,TEGALOMBO,TAHUNAN
PACITAN,TEGALOMBO,TAHUNAN BARU
PACITAN,TULAKAN,JETAK
PACITAN,TULAKAN,NGLARAN
PACITAN,TULAKAN,WONOANTI
PACITAN,TULAKAN,PADI
PACITAN,TULAKAN,KLUWIH
PACITAN,TULAKAN,BUNGUR
PACITAN,TULAKAN,TULAKAN
PACITAN,TULAKAN,JATIGUNUNG
PACITAN,TULAKAN,KALIKUNING
