akses_listrik,ras_listrik_pln,sanitasi_layak,air_aman,jalan_baik,aksesibilitas_jalan,kesejahteraan_ekonomi,pades,bumdes,produk_unggulan,jml_koperasi,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,puskesmas,posyandu,bidan,gizi_buruk,pendidikan_dasar,pendidikan_menengah,tbm,pemilahan_sampah,no_banjir,peringatan_dini,internet_desa,rkp_desa
99.8995983935743,99.8995983935743,1,1,1,4,98.19277108433735,1,2,0,0,False,False,False,True,0,12,2,0,3,0,0,2,1,1,4,1
100.0,100.0,1,1,1,4,96.3060686015831,1,1,1,0,False,False,False,True,0,2,0,0,2,0,1,2,1,1,4,1
100.0,100.0,1,1,1,4,98.1549815498155,1,1,1,0,False,False,False,True,1,9,3,0,3,2,0,4,1,1,4,1
100.0,100.0,1,1,1,4,96.37750238322212,1,1,1,1,False,False,False,True,0,8,2,0,4,0,0,3,1,1,4,1
100.0,100.0,1,1,1,4,98.46252402306214,1,1,1,1,False,False,False,True,0,11,1,0,5,1,0,1,1,1,4,1
100.0,100.0,1,1,1,4,95.65816678152999,1,2,1,2,False,False,False,True,0,5,1,0,3,1,0,3,1,1,4,1
100.0,100.0,1,1,1,4,98.09322033898304,1,1,1,1,False,False,False,True,0,11,1,0,3,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,96.45608628659477,1,1,0,1,False,False,False,True,0,10,1,0,2,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.33333333333333,1,1,1,2,False,False,False,True,0,11,2,0,3,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,97.88851351351352,1,1,1,2,False,False,False,True,0,8,0,0,3,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,97.15496368038741,1,1,0,0,False,False,False,True,0,12,2,0,4,1,0,2,1,0,4,1
100.0,100.0,1,1,1,4,98.17543859649123,1,2,0,5,False,False,False,True,0,8,1,0,3,0,0,2,1,0,4,1
100.0,100.0,1,1,1,4,97.50812567713976,1,1,0,1,False,False,False,True,0,3,1,0,3,1,1,2,1,1,4,1
